one,two,three,four,five,six,seven,eight,cls
75,57,63,16,53,135,146,67,3
82,63,60,16,42,130,141,59,3
62,45,60,14,38,119,127,53,3
74,53,60,18,49,120,143,63,3
81,56,60,11,46,124,144,69,3
81,64,63,17,49,126,145,67,3
82,67,65,18,50,128,153,70,3
87,65,62,17,52,130,159,70,3
79,59,63,15,56,131,147,51,3
80,64,63,16,60,131,153,66,3
83,61,62,17,56,135,120,62,3
65,55,65,65,50,125,87,47,3
67,61,60,66,90,127,90,70,3
85,67,70,44,79,119,102,67,3
82,65,70,58,77,126,129,67,3
57,1,158,143,190,91,55,67,4
68,2,143,142,189,92,53,59,4
66,2,157,145,189,86,51,56,4
49,1,152,141,186,91,47,55,4
51,0,147,139,190,82,50,52,4
41,0,139,141,189,88,65,66,4
51,0,150,146,178,92,60,65,4
51,0,150,140,179,92,61,63,4
48,2,150,140,179,93,61,66,4
39,0,151,142,178,90,66,70,4
49,2,151,143,177,93,100,65,4
45,0,151,139,175,86,102,55,4
45,0,161,140,177,84,106,52,4
39,0,160,136,193,92,83,61,4
40,2,153,132,192,94,51,59,4
61,2,154,137,192,96,55,60,4
39,3,153,140,197,92,54,50,4
27,0,158,139,193,92,51,56,4
27,0,152,138,189,87,40,49,4
53,3,152,139,192,94,53,61,4
47,2,155,139,193,94,53,59,4
45,0,152,140,194,85,44,59,4
47,0,156,136,192,92,52,54,4
23,0,154,133,189,87,46,46,4
0,19,154,135,189,90,54,61,4
2,48,159,143,192,94,59,58,4
52,26,157,145,192,93,54,59,4
0,0,166,143,189,93,59,62,4
48,0,164,142,188,89,53,63,4
33,0,152,140,192,97,54,57,4
43,2,158,139,194,95,54,60,4
52,1,156,141,197,95,51,59,4
52,1,156,142,197,97,48,53,4
52,0,155,142,197,91,46,50,4
34,0,151,144,197,95,49,56,4
59,3,147,141,198,94,56,61,4
57,1,161,141,197,95,57,63,4
8,1,147,139,197,94,51,56,4
58,1,147,135,196,93,52,57,4
52,0,144,130,193,92,53,47,4
45,0,146,136,195,95,51,54,4
2,0,152,136,198,95,57,61,4
4,2,152,140,197,95,55,62,4
0,0,150,138,198,92,55,63,4
1,0,151,139,199,94,53,57,4
1,0,153,141,196,94,53,64,4
50,1,153,147,200,96,54,60,4
54,2,157,148,199,95,56,63,4
46,1,160,147,197,95,53,60,4
0,0,152,142,196,94,46,52,4
1,2,149,143,199,89,54,64,4
2,1,151,144,200,96,55,64,4
4,2,152,144,199,96,56,64,4
44,6,157,145,195,92,60,53,4
1,0,156,142,198,94,50,55,4
0,0,158,144,196,90,48,55,4
2,2,157,144,199,95,52,57,4
2,1,152,146,199,95,53,57,4
3,0,153,149,195,91,52,47,4
0,0,157,149,179,92,50,53,4
65,81,192,75,51,54,44,61,4
57,59,218,90,47,49,12,55,4
52,91,248,69,0,49,0,58,4
67,86,281,76,0,46,17,52,4
69,94,279,91,33,54,21,67,4
70,93,274,74,1,47,1,50,4
72,94,278,73,0,51,2,49,4
75,107,279,70,0,50,0,48,4
71,113,276,74,1,52,0,48,4
67,103,264,78,0,52,0,43,4
66,106,268,69,0,49,0,41,4
65,95,279,77,2,51,0,41,4
72,100,273,78,1,54,13,52,4
75,102,276,77,2,63,16,53,4
75,104,282,80,2,65,44,70,4
71,99,278,76,1,64,42,61,4
71,98,279,77,1,63,40,65,4
70,101,280,78,0,62,42,47,4
63,91,275,72,0,60,36,58,4
65,113,270,74,0,63,39,57,4
73,122,276,70,0,54,14,47,4
73,121,275,73,1,54,15,50,4
75,121,276,74,1,49,2,52,4
73,121,288,74,0,45,0,49,4
60,115,275,49,1,63,51,61,4
69,120,277,48,1,60,49,55,4
62,118,264,63,0,50,0,41,4
65,102,266,67,2,49,0,41,4
73,69,266,90,43,32,18,40,4
74,92,266,95,66,60,15,47,4
77,122,262,72,1,59,4,49,4
76,99,257,79,0,48,3,35,4
64,92,257,80,1,49,0,33,4
71,96,257,76,36,57,0,30,4
57,93,264,92,57,56,0,24,4
60,93,257,93,59,61,0,35,4
66,97,262,81,39,60,2,44,4
73,99,265,78,44,64,37,50,4
77,100,275,78,43,62,39,51,4
71,100,260,81,0,49,7,39,4
71,98,262,79,39,59,14,38,4
62,76,276,76,38,57,5,34,4
57,80,266,106,55,44,47,55,4
69,88,244,114,68,49,52,70,4
75,89,241,106,77,49,54,68,4
75,91,245,109,88,49,52,69,4
59,87,239,102,82,47,53,65,4
68,89,234,104,96,63,51,65,4
68,85,236,100,92,56,40,51,4
60,84,237,101,97,61,50,57,4
72,90,236,105,95,62,52,66,4
77,89,237,104,96,62,53,68,4
77,91,240,104,96,63,54,70,4
62,92,245,102,95,62,51,65,4
70,87,243,101,95,47,48,63,4
54,76,240,100,92,48,38,55,4
64,87,242,105,94,50,51,67,4
76,88,244,101,91,48,52,68,4
73,90,245,103,85,48,52,68,4
77,91,246,104,96,64,52,58,4
85,4,107,131,172,93,35,0,5
88,1,107,140,174,83,36,0,5
76,1,103,139,171,85,30,0,5
74,0,101,141,171,83,36,1,5
89,3,109,140,173,88,38,1,5
93,3,107,139,175,89,39,1,5
102,39,112,134,156,89,49,7,5
168,60,111,114,132,87,40,40,5
169,64,99,110,129,88,42,44,5
173,57,122,124,163,96,42,45,5
77,2,109,139,167,87,21,1,5
70,0,106,142,162,86,17,0,5
71,0,109,139,166,85,14,0,5
59,0,109,139,165,87,10,0,5
65,1,101,132,167,104,40,0,5
35,1,135,145,171,94,1,0,5
115,0,142,147,171,94,0,39,5
74,38,138,127,169,89,28,0,5
22,52,141,141,167,94,28,0,5
56,58,142,137,170,89,28,0,5
36,58,144,139,169,95,33,1,5
77,59,146,121,154,88,30,0,5
74,60,141,118,159,99,25,0,5
56,18,141,128,163,83,30,0,5
84,68,182,141,162,91,8,4,5
85,61,184,138,158,88,9,1,5
84,61,185,139,159,90,16,1,5
97,61,150,117,147,101,32,0,5
103,60,150,102,149,83,79,0,5
131,58,129,98,122,91,79,0,5
130,68,139,110,147,88,79,1,5
143,74,149,119,147,88,71,0,5
142,79,177,113,148,84,70,0,5
89,65,210,148,162,72,12,0,5
74,58,202,152,163,65,0,0,5
56,53,181,150,161,72,12,0,5
75,63,225,158,153,65,3,1,5
74,62,229,156,148,63,1,1,5
134,75,196,140,152,62,12,0,5
85,56,155,121,160,76,19,0,5
73,51,168,121,161,70,15,0,5
140,59,187,132,158,77,15,0,5
138,63,178,145,168,97,18,1,5
107,63,177,133,169,85,15,1,5
102,63,168,132,164,97,19,0,5
148,76,151,123,168,85,39,0,5
142,75,149,138,164,85,45,0,5
142,73,159,132,168,86,47,0,5
158,79,181,138,168,87,49,0,5
154,76,148,134,168,93,51,1,5
105,62,138,123,169,76,23,0,5
144,63,121,129,170,94,19,0,5
162,71,183,140,161,91,20,0,5
167,82,193,139,152,63,20,1,5
171,83,169,141,163,65,20,1,5
91,65,202,152,167,58,0,1,5
62,8,164,163,167,65,11,0,5
58,9,164,156,165,60,0,0,5
79,56,207,154,168,60,10,0,5
79,58,203,152,168,82,15,0,5
148,68,141,63,94,130,56,34,5
152,83,191,70,88,111,50,4,5
141,60,109,62,89,184,57,18,5
145,64,113,66,91,188,58,33,5
147,70,111,69,95,191,62,29,5
149,65,113,70,96,190,63,29,5
154,63,111,69,95,192,61,27,5
127,62,108,66,95,196,53,28,5
136,62,61,57,92,206,82,13,5
99,54,56,65,130,202,73,0,5
70,60,60,70,116,229,77,13,5
107,0,41,28,95,232,87,14,5
106,1,50,66,95,251,88,11,5
76,2,49,67,94,254,91,16,5
74,1,42,62,87,254,75,5,5
87,32,53,68,91,237,85,13,5
93,24,57,63,85,230,66,32,5
127,16,84,62,100,157,45,26,5
152,61,152,73,99,115,52,10,5
153,55,119,67,100,165,57,13,5
148,49,110,48,78,172,59,41,5
153,47,111,49,96,168,61,44,5
109,50,91,60,83,214,57,39,5
99,50,85,51,80,214,58,41,5
100,46,81,26,79,200,61,41,5
143,43,79,75,81,197,58,39,5
139,37,94,68,78,173,46,28,5
